"revAll.address","useful.m.place_full_name","useful.m.place_name"
"930 Berkeley Ave, Charlotte, NC 28203, USA","Charlotte, NC","Charlotte"
"Unnamed Road, Beech Creek, PA 16822, USA","Pennsylvania, USA","Pennsylvania"
"33944 Calle La Primavera, Dana Point, CA 92629, USA","Dana Point, CA","Dana Point"
"4499 Colchester St, Houston, TX 77018, USA","Houston, TX","Houston"
"4499 Colchester St, Houston, TX 77018, USA","Houston, TX","Houston"
"1905-1909 S Cushman Ave, Tacoma, WA 98405, USA","Tacoma, WA","Tacoma"
"3637 Glendon Ave, Los Angeles, CA 90034, USA","Los Angeles, CA","Los Angeles"
"6039-6099 Palo Pinto Ave, Dallas, TX 75206, USA","Dallas, TX","Dallas"
"1306 W Orange Grove Ave, Pomona, CA 91768, USA","Pomona, CA","Pomona"
"1415 Hilton Terrace, Catonsville, MD 21228, USA","Catonsville, MD","Catonsville"
"3637 Glendon Ave, Los Angeles, CA 90034, USA","Los Angeles, CA","Los Angeles"
"4201 S Creek Rd, Chattanooga, TN 37406, USA","Chattanooga, TN","Chattanooga"
"315 Ridgeview Cir, Blairsville, PA 15717, USA","Blairsville, PA","Blairsville"
"4210-4214 Luther Ct, Shreveport, LA 71109, USA","Shreveport, LA","Shreveport"
"950 Industrial Rd, Cambridge, ON N3H 4W1, Canada","Cambridge, Ontario","Cambridge"
"Unnamed Road, Black Canyon City, AZ 85324, USA","Arizona, USA","Arizona"
"3701-3857 Santo Rd, San Diego, CA 92124, USA","San Diego, CA","San Diego"
"102-104 Tours St, Lafayette, LA 70506, USA","Lafayette, LA","Lafayette"
"105 Castle Glen Crescent, Kanata, ON K2L 4G9, Canada","Ottawa, Ontario","Ottawa"
"75 Great Lawn Oval, New York, NY 10024, USA","Manhattan, NY","Manhattan"
"3701-3857 Santo Rd, San Diego, CA 92124, USA","San Diego, CA","San Diego"
"1217-1225 N 175th St, Shoreline, WA 98133, USA","Shoreline, WA","Shoreline"
"17 Mimosa Ct, Jackson, NJ 08527, USA","Hyson, NJ","Hyson"
"315 Ridgeview Cir, Blairsville, PA 15717, USA","Blairsville, PA","Blairsville"
"5094 Cobb Ct, Fremont, CA 94538, USA","Fremont, CA","Fremont"
